v1,v2
ham,Yes there were many sweets
ham,"When you just put in the + sign, choose my number and the pin will show. Right?"
ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today."
ham,Ok i also wan 2 watch e 9 pm show...
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
ham,Yeah it's jus rite...
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,Excellent! Wish we were together right now!
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
ham,Dear we are going to our rubber place
ham,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.
ham,"Ta-Daaaaa! I am home babe, are you still up ?"
ham,Well boy am I glad G wasted all night at applebees for nothing
ham,Yunny i'm walking in citylink now Ã_ faster come down... Me very hungry...
ham,So that means you still think of teju
ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,Si si. I think ill go make those oreo truffles.
ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
ham,I am not sure about night menu. . . I know only about noon menu
spam,+123 Congratulations - in this week's competition draw u have won the Ã¥Â£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
ham,Ok I'm gonna head up to usf in like fifteen minutes
ham,Have a good evening! Ttyl
ham,Hmmm.but you should give it on one day..
ham,Ok
ham,Yeah right! I'll bring my tape measure fri!
ham,Why she wants to talk to me
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
ham,Alex says he's not ok with you not being ok with it
ham,&lt;#&gt;  am I think? Should say on syllabus
ham,Oh... Kay... On sat right?
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive Ã¥Â£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
ham,Thank you. do you generally date the brothas?
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
ham,Maybe you should find something else to do instead???
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
ham,You unbelievable faglord
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,LOL what happens in Vegas stays in vegas
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
ham,I keep ten rs in my shelf:) buy two egg.
ham,i thought we were doing a king of the hill thing there.
ham,", ow u dey.i paid 60,400thousad.i told  u would call . "
ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!
ham,Ok try to do week end course in coimbatore.
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
ham,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*"
ham,How come?
ham,"Aight, call me once you're close"
ham,Hey i've booked the pilates and yoga lesson already... Haha
ham,Discussed with your mother ah?
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
ham,Yup song bro. No creative. Neva test quality. He said check review online.
ham,K:)k:)good:)study well.
ham,Send to someone else :-)
ham,Are you at work right now ?
ham,When u wana see it then
